TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 10:34:00,30.8869,30.8869,30.8869,30.8869,382,300,0,
20180102 10:39:00,30.89,30.89,30.8857,30.8857,4382,4000,0,
20180102 11:04:00,30.9,30.9,30.9,30.9,5677,1295,0,
20180102 11:07:00,30.892,30.892,30.892,30.892,6001,324,0,
20180102 13:43:00,30.8557,30.8557,30.8557,30.8557,6828,700,0,
